"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Altia 's operating profit [[jumped]] to EUR 47 million from EUR 6.6 [[million]] .","Altia 's operating profit [[jumed]] to EUR 47 million from EUR 6.6 [[milion]] .",0.0007036924362182617,0.964056134223938,2,1,2,41,"Successful"
"The agreement was [[signed]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was [[signature]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",0.0014005303382873535,0.7615136504173279,2,1,2,37,"Successful"
"Kesko pursues a strategy of healthy , focused [[growth]] concentrating on sales and services to consumer-customers .","Kesko pursues a strategy of healthy , focused [[grow]] concentrating on sales and services to consumer-customers .",0.0005785226821899414,0.9422404766082764,2,1,2,25,"Successful"
"[[Vaisala]] , [[headquartered]] in Helsinki in Finland , develops and [[manufactures]] [[electronic]] [[measurement]] [[systems]] for meteorology , environmental sciences , [[traffic]] and industry .","[[Vaisɑla]] , [[headquartereԁ]] in Helsinki in Finland , develops and [[maunfactures]] [[electron]] [[measures]] [[regimes]] for meteorology , environmental sciences , [[smuggling]] and industry .",0.0006266236305236816,0.0011889934539794922,1,1,1,93,"Failed"
"Also , a six-year historic [[analysis]] is [[provided]] for these markets .","Also , a six-year historic [[analysiѕ]] is [[supplied]] for these markets .",0.0007799863815307617,0.0019539594650268555,1,1,1,40,"Failed"
"Elcoteq 's stock of orders has [[stabilised]] in the past weeks , Mr Krippl said .","Elcoteq 's stock of orders has [[stabiⅼised]] in the past weeks , Mr Krippl said .",0.0006445050239562988,0.9906954765319824,2,1,2,28,"Successful"
"Also , a six-year historic [[analysis]] is [[provided]] for this market .","Also , a six-year historic [[analysiѕ]] is [[given]] for this market .",0.0007697343826293945,0.0014309883117675781,1,1,1,28,"Failed"
"In addition , [[nine]] [[fixed-term]] employment contracts will not be extended and two [[people]] will leave the company under [[pension]] [[arrangements]] .","In addition , [[nіne]] [[fіxed-term]] employment contracts will not be extended and two [[volk]] will leave the company under [[pensioո]] [[agreement]] .",0.0016512870788574219,0.015405654907226562,1,1,1,97,"Failed"
"Operating [[loss]] [[totalled]] EUR [[0]].9 mn , down from a profit of EUR 2.7 [[mn]] .","Operating [[lsos]] [[totalleԁ]] EUR [[O]].9 mn , down from a profit of EUR 2.7 [[minnesota]] .",0.0013597607612609863,0.0017450451850891113,0,0,0,49,"Failed"
"The Insolvency Act [[regulates]] the amount of debt that [[borrowers]] are [[permitted]] to write off .","The Insolvency Act [[throttles]] the amount of debt that [[Ьorrowers]] are [[allowed]] to write off .",0.0009548068046569824,0.8535586595535278,1,0,1,59,"Successful"
"The company will [[issue]] an inaugural [[Eurobond]] deal in the near future [[subject]] to market [[conditions]] .","The company will [[issսe]] an inaugural [[Euroboոd]] deal in the near future [[suЬject]] to market [[condition]] .",0.0010034441947937012,0.48571789264678955,1,1,1,45,"Failed"
"Airbus will [[attempt]] to [[evacuate]] up to 873 people within [[90]] [[seconds]] .","Airbus will [[attеmpt]] to [[evacuation]] up to 873 people within [[৭0]] [[sec]] .",0.0026398301124572754,0.1874869465827942,1,1,1,29,"Failed"
"UPM-Kymmene has generated [[seventeen]] consecutive quarters of [[positive]] Cash Flow from Operations .","UPM-Kymmene has generated [[nineteen]] consecutive quarters of [[positivе]] Cash Flow from Operations .",0.0006474852561950684,0.8135332465171814,2,1,2,40,"Successful"
"Founded in 1946 , [[Strand]] Associates , which [[provides]] [[civil]] , [[environmental]] , transportation , electrical and mechanical [[engineering]] services , has [[350]] [[employees]] at [[10]] [[offices]] in Wisconsin , Alabama , [[Illinois]] , Indiana , [[Kentucky]] and Ohio .","Founded in 1946 , [[Element]] Associates , which [[affords]] [[civilian]] , [[environmentally]] , transportation , electrical and mechanical [[genius]] services , has [[3]] [[50]] [[employeeѕ]] at [[l0]] [[offi]] [[ces]] in Wisconsin , Alabama , [[Ill]] [[inois]] , Indiana , [[Kentuckу]] and Ohio .",0.0005620121955871582,0.001513361930847168,1,1,1,213,"Failed"
"[[Fortum]] [[expects]] its [[annual]] capital expenditure in the next four to five years to be [[within]] a range of EUR 0.8-1 .2 billion , as [[earlier]] announced .","[[For]] [[tum]] [[waiting]] its [[annul]] capital expenditure in the next four to five years to be [[withn]] a range of EUR 0.8-1 .2 billion , as [[earlіer]] announced .",0.0005176067352294922,0.0018297433853149414,1,1,1,97,"Failed"
"In 2006 , 452 million tonnes CO2 of [[EUA]] ( EU Allowance ; emissions credit in EU ) was [[traded]] with an [[underlying]] [[market]] [[value]] approx .","In 2006 , 452 million tonnes CO2 of [[EA]] ( EU Allowance ; emissions credit in EU ) was [[trded]] with an [[uոderlying]] [[markets]] [[v]] [[alue]] approx .",0.000820457935333252,0.002333521842956543,1,1,1,67,"Failed"
"According to [[Tyrv]]+[[ñinen]] 's [[estimation]] , [[Japan]] is a very [[essential]] location in terms of Finnair 's Asian strategy .","According to [[Tуrv]]+[[ñineո]] 's [[evaluating]] , [[Tokio]] is a very [[vital]] location in terms of Finnair 's Asian strategy .",0.0015004873275756836,0.5899777412414551,1,2,1,45,"Successful"
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , [[expects]] to derive [[synergies]] of EUR5 million a [[year]] by [[consolidating]] certain parts of the housewares division where the two compete .","Fiskars , a 360-year-old global business best known for its orange-handled scissors , [[expectѕ]] to derive [[synerɡies]] of EUR5 million a [[yeaⲅ]] by [[consolida𝚝ing]] certain parts of the housewares division where the two compete .",0.0007981657981872559,0.8173272609710693,2,1,2,82,"Successful"
"[[Nordea]] was the cheapest [[also]] for a [[couple]] in their 30s with debt .","[[Nоrdea]] was the cheapest [[aslo]] for a [[matches]] in their 30s with debt .",0.0018377900123596191,0.567205011844635,1,0,1,33,"Successful"
"The [[companies]] [[aim]] to [[close]] the deal before the end of the year .","The [[corporations]] [[ɑim]] to [[closing]] the deal before the end of the year .",0.0010383129119873047,0.002140820026397705,1,1,1,31,"Failed"
"Several large [[stocks]] tacked lower , however .","Several large [[stoϲks]] tacked lower , however .",0.0016592741012573242,0.9971454739570618,0,1,0,14,"Successful"
"[[With]] this , the [[company]] will exit the contract manufacturing service [[segment]] .","[[Among]] this , the [[corporation]] will exit the contract manufacturing service [[segmen𝚝]] .",0.0011132359504699707,0.1703258752822876,1,1,1,36,"Failed"
"The tower it chose to add , due to go into operation in the summer , will [[increase]] total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .","The tower it chose to add , due to go into operation in the summer , will [[іncrease]] total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",0.00047659873962402344,0.9354941844940186,2,1,2,40,"Successful"
"Boomerang [[Boats]] had [[net]] sales of [[EUR]] 4.1 mn and it [[made]] an [[operating]] profit of [[EUR]] 0.4 mn in 2006 .","Boomerang [[Ship]] had [[netted]] sales of [[EUROS]] 4.1 mn and it [[effected]] an [[оperating]] profit of [[EUROS]] 0.4 mn in 2006 .",0.000621795654296875,0.8100398778915405,1,2,1,81,"Successful"
