"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Altia 's operating profit [[jumped]] to EUR 47 million from EUR 6.6 million .","Altia 's operating profit [[slumped]] to EUR 47 million from EUR 6.6 million .",0.0007036924362182617,0.9992057085037231,2,0,2,62,"Successful"
"The agreement was [[signed]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was [[signer]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",0.0014005303382873535,0.6640437245368958,2,1,2,41,"Successful"
"Kesko pursues a strategy of healthy , focused [[growth]] concentrating on sales and services to consumer-customers .","Kesko pursues a strategy of healthy , focused [[grow]] concentrating on sales and services to consumer-customers .",0.0005785226821899414,0.9422407746315002,2,1,2,50,"Successful"
"Vaisala , headquartered in [[Helsinki]] in Finland , [[develops]] and [[manufactures]] [[electronic]] [[measurement]] [[systems]] for meteorology , [[environmental]] [[sciences]] , [[traffic]] and industry .","Vaisala , headquartered in [[Stavanger]] in Finland , [[pushes]] and [[create]] [[online]] [[readings]] [[agenda]] for meteorology , [[green]] [[scholars]] , [[smuggling]] and industry .",0.0006266236305236816,0.0017041563987731934,1,1,1,262,"Failed"
"[[Also]] , a six-year [[historic]] [[analysis]] is [[provided]] for these [[markets]] .","[[Thereby]] , a six-year [[yesteryear]] [[scans]] is [[awarded]] for these [[commercialized]] .",0.0007799863815307617,0.9973716139793396,1,2,1,177,"Successful"
"Elcoteq 's stock of orders has [[stabilised]] in the past weeks , Mr Krippl said .","Elcoteq 's stock of orders has [[stables]] in the past weeks , Mr Krippl said .",0.0006445050239562988,0.9995534420013428,2,1,2,32,"Successful"
"[[Also]] , a six-year [[historic]] [[analysis]] is [[provided]] for this [[market]] .","[[Yet]] , a six-year [[unforgettable]] [[consideration]] is [[bestowed]] for this [[contract]] .",0.0007697343826293945,0.9988445043563843,1,2,1,176,"Successful"
"[[In]] [[addition]] , nine fixed-term employment contracts will not [[be]] extended and two people will leave the [[company]] under [[pension]] [[arrangements]] .","[[Through]] [[adding]] , nine fixed-term employment contracts will not [[got]] extended and two people will leave the [[enterprising]] under [[retreat]] [[scheme]] .",0.0016512870788574219,0.5735578536987305,1,2,1,153,"Successful"
"[[Operating]] [[loss]] [[totalled]] [[EUR]] 0.9 [[mn]] , down from a [[profit]] of [[EUR]] 2.7 [[mn]] .","[[Operation]] [[losing]] [[adds]] [[EURO]] 0.9 [[minutes]] , down from a [[achievements]] of [[EURO]] 2.7 [[manganese]] .",0.0013597607612609863,0.033337950706481934,0,0,0,167,"Failed"
"The Insolvency Act [[regulates]] the amount of debt that [[borrowers]] are [[permitted]] to write off .","The Insolvency Act [[throttles]] the amount of debt that [[lending]] are [[allowed]] to write off .",0.0009548068046569824,0.7784426808357239,1,0,1,94,"Successful"
"The company will issue an inaugural Eurobond deal in the near future [[subject]] to market conditions .","The company will issue an inaugural Eurobond deal in the near future [[problem]] to market conditions .",0.0010034441947937012,0.6279429793357849,1,0,1,39,"Successful"
"Airbus will attempt to [[evacuate]] up to 873 people within 90 seconds .","Airbus will attempt to [[banishment]] up to 873 people within 90 seconds .",0.0026398301124572754,0.9491092562675476,1,0,1,42,"Successful"
"UPM-Kymmene has generated seventeen consecutive quarters of [[positive]] Cash Flow from Operations .","UPM-Kymmene has generated seventeen consecutive quarters of [[active]] Cash Flow from Operations .",0.0006474852561950684,0.7082229256629944,2,1,2,40,"Successful"
"[[Founded]] in 1946 , [[Strand]] Associates , which [[provides]] [[civil]] , [[environmental]] , [[transportation]] , [[electrical]] and [[mechanical]] [[engineering]] services , [[has]] 350 [[employees]] at 10 [[offices]] in Wisconsin , [[Alabama]] , [[Illinois]] , [[Indiana]] , [[Kentucky]] and [[Ohio]] .","[[Corroborated]] in 1946 , [[Ingredients]] Associates , which [[introduces]] [[citizen]] , [[green]] , [[transfers]] , [[electric]] and [[mechanized]] [[brilliance]] services , [[ai]] 350 [[talents]] at 10 [[room]] in Wisconsin , [[Alaska]] , [[Iil]] , [[India]] , [[Wyoming]] and [[Lowa]] .",0.0005620121955871582,0.6379249095916748,1,2,1,395,"Successful"
"Fortum [[expects]] its annual capital expenditure in the next four to five years to be within a [[range]] of EUR 0.8-1 .2 billion , as earlier announced .","Fortum [[sufferance]] its annual capital expenditure in the next four to five years to be within a [[fluctuates]] of EUR 0.8-1 .2 billion , as earlier announced .",0.0005176067352294922,0.6499398946762085,1,0,1,90,"Successful"
"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was [[traded]] with an [[underlying]] market [[value]] approx .","In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was [[exchanging]] with an [[profound]] market [[prized]] approx .",0.000820457935333252,0.6678750514984131,1,2,1,103,"Successful"
"[[According]] to Tyrv+ñinen 's [[estimation]] , [[Japan]] is a very essential location in [[terms]] of Finnair 's [[Asian]] strategy .","[[Complying]] to Tyrv+ñinen 's [[appraisal]] , [[Tokyo]] is a very essential location in [[term]] of Finnair 's [[Asia]] strategy .",0.0015004873275756836,0.9825242757797241,1,2,1,108,"Successful"
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , [[expects]] to derive synergies of EUR5 million a [[year]] by [[consolidating]] certain parts of the housewares division where the two compete .","Fiskars , a 360-year-old global business best known for its orange-handled scissors , [[envisage]] to derive synergies of EUR5 million a [[enjoyment]] by [[grouping]] certain parts of the housewares division where the two compete .",0.0007981657981872559,0.983241081237793,2,1,2,122,"Successful"
"Nordea was the cheapest also for a [[couple]] in their 30s with debt .","Nordea was the cheapest also for a [[matches]] in their 30s with debt .",0.0018377900123596191,0.03971379995346069,1,1,1,76,"Failed"
"The [[companies]] [[aim]] to [[close]] the deal before the end of the year .","The [[firms]] [[objectivity]] to [[finishing]] the deal before the end of the year .",0.0010383129119873047,0.7470980882644653,1,2,1,128,"Successful"
"Several large [[stocks]] tacked lower , however .","Several large [[exchanging]] tacked lower , however .",0.0016592741012573242,0.9846888184547424,0,1,0,25,"Successful"
"[[With]] this , the company [[will]] exit the contract manufacturing [[service]] [[segment]] .","[[Among]] this , the company [[eagerness]] exit the contract manufacturing [[services]] [[servings]] .",0.0011132359504699707,0.5933927297592163,1,0,1,79,"Successful"
"The tower it chose to add , due to go into operation in the summer , will [[increase]] total [[capacity]] to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .","The tower it chose to add , due to go into operation in the summer , will [[soars]] total [[prerogatives]] to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",0.00047659873962402344,0.9071512222290039,2,1,2,109,"Successful"
"Boomerang [[Boats]] [[had]] [[net]] sales of [[EUR]] 4.1 mn and it [[made]] an [[operating]] profit of [[EUR]] 0.4 mn in 2006 .","Boomerang [[Spacecraft]] [[acres]] [[arrest]] sales of [[EUROS]] 4.1 mn and it [[effected]] an [[jobs]] profit of [[EUROS]] 0.4 mn in 2006 .",0.000621795654296875,0.8495033383369446,1,2,1,174,"Successful"
"It [[operates]] under [[three]] [[distinct]] [[brands]] : [[United]] [[Supermarkets]] , [[Market]] [[Street]] and [[United]] Supermercado .","It [[evolves]] under [[two]] [[unique]] [[hallmark]] : [[Unifying]] [[Malls]] , [[Marketplace]] [[Avenue]] and [[Uniting]] Supermercado .",0.0005542635917663574,0.0024569034576416016,1,1,1,235,"Failed"
"The contractor of the shopping center , China State Construction Engineering Corporation , has [[previously]] built e.g. airports , hotels and factories for large international customers in different parts of the world .","The contractor of the shopping center , China State Construction Engineering Corporation , has [[recently]] built e.g. airports , hotels and factories for large international customers in different parts of the world .",0.0009275674819946289,0.6714369058609009,1,2,1,41,"Successful"
"The order was [[valued]] at USD12 .2 [[m]].","The order was [[appreciated]] at USD12 .2 [[mio]].",0.0007495284080505371,0.9987780451774597,1,2,1,54,"Successful"
"To our members and partners , the use of IT will mostly be apparent in the [[increased]] [[efficiency]] of the results service , '' observes Perttu Puro from Tradeka .","To our members and partners , the use of IT will mostly be apparent in the [[heightened]] [[efficacious]] of the results service , '' observes Perttu Puro from Tradeka .",0.0006275773048400879,0.9587647318840027,2,1,2,52,"Successful"
"Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has [[signed]] an [[agreement]] for a one-year syndicated credit facility for a total of EUR 1.5 billion .","Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has [[countersigned]] an [[agreed]] for a one-year syndicated credit facility for a total of EUR 1.5 billion .",0.0005595088005065918,0.9511575698852539,2,1,2,80,"Successful"
"Lule+Ñ municipality has [[awarded]] YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .","Lule+Ñ municipality has [[assigned]] YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",0.0005967617034912109,0.6096343994140625,2,1,2,61,"Successful"
