,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
0,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[strengthen]] Eesti Telekom 's offering to its [[customers]] .,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[promoting]] Eesti Telekom 's offering to its [[purchaser]] .,0.0008702874183654,0.7942571640014648,2,1,2,94,Successful,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would promoting Eesti Telekom 's offering to its purchaser .,1
1,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[raised]] the fair [[value]] for shares in four of the largest Nordic forestry groups .","STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[referred]] the fair [[values]] for shares in four of the largest Nordic forestry groups .",0.0005322098731994,0.9551653861999512,2,1,2,95,Successful,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) referred the fair values for shares in four of the largest Nordic forestry groups .",1
2,"[[Clothing]] retail [[chain]] Sepp+ñl+[[ñ]] 's [[sales]] [[increased]] by 8 % to EUR 155.2 [[mn]] , and [[operating]] [[profit]] [[rose]] to EUR 31.1 [[mn]] from EUR 17.1 [[mn]] in 2004 .","[[Overcoat]] retail [[padlocks]] Sepp+ñl+[[só]] 's [[selling]] [[enlarge]] by 8 % to EUR 155.2 [[minute]] , and [[labor]] [[interests]] [[hike]] to EUR 31.1 [[minneapolis]] from EUR 17.1 [[minute]] in 2004 .",0.0005964040756225,0.0113176107406616,2,2,2,316,Failed,"Overcoat retail padlocks Sepp+ñl+só 's selling enlarge by 8 % to EUR 155.2 minute , and labor interests hike to EUR 31.1 minneapolis from EUR 17.1 minute in 2004 .",2
3,"Lifetree was founded in 2000 , and its revenues have [[risen]] on an average by 40 % with margins in late 30s .","Lifetree was founded in 2000 , and its revenues have [[hiked]] on an average by 40 % with margins in late 30s .",0.0005738735198974,0.9989986419677734,2,0,2,62,Successful,"Lifetree was founded in 2000 , and its revenues have hiked on an average by 40 % with margins in late 30s .",0
4,Nordea Group 's operating profit [[increased]] in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,Nordea Group 's operating profit [[hikes]] in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,0.0005275607109069,0.995197594165802,2,0,2,72,Successful,Nordea Group 's operating profit hikes in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,0
5,"[[Operating]] [[profit]] for the nine-month [[period]] [[increased]] from EUR3 .1 [[m]] and [[net]] sales increased from EUR61 .5 [[m]] , as [[compared]] to the [[corresponding]] [[period]] in 2007 .","[[Functions]] [[interests]] for the nine-month [[timetables]] [[augmentation]] from EUR3 .1 [[metre]] and [[detain]] sales increased from EUR61 .5 [[metres]] , as [[relation]] to the [[accompany]] [[chronology]] in 2007 .",0.0008563995361328,0.5330504179000854,2,1,2,302,Successful,"Functions interests for the nine-month timetables augmentation from EUR3 .1 metre and detain sales increased from EUR61 .5 metres , as relation to the accompany chronology in 2007 .",1
6,"The Lithuanian beer market made up 14.41 million liters in January , a [[rise]] of 0.8 [[percent]] from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","The Lithuanian beer market made up 14.41 million liters in January , a [[augmented]] of 0.8 [[ratio]] from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",0.000611662864685,0.7559913992881775,2,1,2,72,Successful,"The Lithuanian beer market made up 14.41 million liters in January , a augmented of 0.8 ratio from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1
7,"[[In]] January-September 2010 , Fiskars ' net profit [[went]] up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","[[Roundabout]] January-September 2010 , Fiskars ' net profit [[disappeared]] up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",0.0005896091461181,0.999020218849182,2,0,2,77,Successful,"Roundabout January-September 2010 , Fiskars ' net profit disappeared up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",0
8,"Net income from life insurance [[rose]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Net income from life insurance [[roses]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",0.000818908214569,0.895950973033905,2,1,2,77,Successful,"Net income from life insurance roses to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1
9,"Nyrstar has also agreed to [[supply]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar has also agreed to [[stipulation]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",0.0006099939346313,0.690010666847229,2,1,2,47,Successful,"Nyrstar has also agreed to stipulation to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1
10,The agreement [[strengthens]] our long-term partnership with Nokia Siemens Networks .,The agreement [[begs]] our long-term partnership with Nokia Siemens Networks .,0.0006083250045776,0.7233545184135437,2,1,2,58,Successful,The agreement begs our long-term partnership with Nokia Siemens Networks .,1
11,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[signed]] an [[agreement]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[firma]] an [[accord]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",0.0007235407829284,0.9877998232841492,2,1,2,89,Successful,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today firma an accord by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1
12,"[[The]] OMX [[Helsinki]] 25 [[index]] was up 0.92 pct at 2,518.67 and the Helsinki [[CAP]] [[portfolio]] [[index]] was 0.91 pct [[higher]] at 4,711.19 .","[[Both]] OMX [[Finland]] 25 [[pegged]] was up 0.92 pct at 2,518.67 and the Helsinki [[PROMONTORY]] [[wallet]] [[forefinger]] was 0.91 pct [[bigger]] at 4,711.19 .",0.0005574822425842,0.9195783138275146,2,1,2,96,Successful,"Both OMX Finland 25 pegged was up 0.92 pct at 2,518.67 and the Helsinki PROMONTORY wallet forefinger was 0.91 pct bigger at 4,711.19 .",1
13,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a [[turnover]] of 76.5 mln eur in 2005 .,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a [[turnaround]] of 76.5 mln eur in 2005 .,0.0005393624305725,0.999777376651764,1,2,1,35,Successful,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnaround of 76.5 mln eur in 2005 .,2
14,Under this agreement Biohit becomes a focus [[supplier]] of pipettors and disposable pipettor tips to VWR customers throughout Europe .,Under this agreement Biohit becomes a focus [[vendors]] of pipettors and disposable pipettor tips to VWR customers throughout Europe .,0.0014497637748718,0.5154995322227478,2,1,2,27,Successful,Under this agreement Biohit becomes a focus vendors of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1
15,"Adjusted for changes in the Group structure , the Division 's net sales [[increased]] by 1.7 % .","Adjusted for changes in the Group structure , the Division 's net sales [[hikes]] by 1.7 % .",0.0005604624748229,0.9010950326919556,2,0,2,60,Successful,"Adjusted for changes in the Group structure , the Division 's net sales hikes by 1.7 % .",0
