,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_question,perturbed_answer,evaluation_output
0,"[[[[Question]]]]: What came into [[force]] after the new constitution was herald?<SPLIT>[[[[Sentence]]]]: As of that day, the new constitution heralding the Second Republic came into [[force]].","[[[[Question]]]]: What came into [[vigor]] after the new constitution was herald?<SPLIT>[[[[Sentence]]]]: As of that day, the new constitution heralding the Second Republic came into [[troupes]].",0.0031183958053588,0.5257230997085571,0,1,0,35,Successful,What came into vigor after the new constitution was herald?,"As of that day, the new constitution heralding the Second Republic came into troupes.",0
1,"[[[[Question]]]]: What is the first major city in the stream of the [[Rhine]]?<SPLIT>[[[[Sentence]]]]: The most important [[tributaries]] in this [[area]] are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","[[[[Question]]]]: What is the first major city in the stream of the [[Rin]]?<SPLIT>[[[[Sentence]]]]: The most important [[lagoons]] in this [[fd]] are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",0.0118308067321777,0.5002456903457642,1,0,1,78,Successful,What is the first major city in the stream of the Rin?,"The most important lagoons in this fd are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",1
2,[[[[Question]]]]: What is the minimum required if you want to teach in Canada?<SPLIT>[[[[Sentence]]]]: In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,[[[[Question]]]]: What is the minimum required if you want to teach in Canada?<SPLIT>[[[[Sentence]]]]: In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,0.9778923988342284,0.9778923988342284,0,0,1,1,Skipped,What is the minimum required if you want to teach in Canada?,In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,0
3,"[[[[Question]]]]: How was Temüjin [[kept]] imprisoned by the Tayichi'ud?<SPLIT>[[[[Sentence]]]]: The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","[[[[Question]]]]: How was Temüjin [[retains]] imprisoned by the Tayichi'ud?<SPLIT>[[[[Sentence]]]]: The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]",0.0155656933784484,0.7270768880844116,0,1,0,83,Successful,How was Temüjin retains imprisoned by the Tayichi'ud?,"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.citation needed",0
4,"[[[[Question]]]]: What did Herr Gott, dich loben wir [[become]] known as ?<SPLIT>[[[[Sentence]]]]: He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.","[[[[Question]]]]: What did Herr Gott, dich loben wir [[se]] known as ?<SPLIT>[[[[Sentence]]]]: He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",0.0530027151107788,0.955384075641632,1,0,1,42,Successful,"What did Herr Gott, dich loben wir se known as ?","He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",0
5,"[[[[Question]]]]: [[What]] [[year]] [[did]] the the [[case]] [[go]] before the [[supreme]] [[court]]?<SPLIT>[[[[Sentence]]]]: For [[example]], Joseph Haas was [[arrested]] for [[allegedly]] sending an [[email]] to the Lebanon, [[New]] [[Hampshire]] city councilors stating, ""Wise up or die.""","[[[[Question]]]]: [[Wher]] [[years]] [[gotten]] the the [[examples]] [[gonna]] before the [[senior]] [[backyard]]?<SPLIT>[[[[Sentence]]]]: For [[examples]], Joseph Haas was [[nab]] for [[supposedly]] sending an [[messages]] to the Lebanon, [[Newest]] [[Rutland]] city councilors stating, ""Wise up or die.""",0.0007168650627136,0.6317943334579468,1,0,1,315,Successful,Wher years gotten the the examples gonna before the senior backyard?,"For examples, Joseph Haas was nab for supposedly sending an messages to the Lebanon, Newest Rutland city councilors stating, ""Wise up or die.""",1
6,"[[[[Question]]]]: What does UMC stand for?<SPLIT>[[[[Sentence]]]]: Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.","[[[[Question]]]]: What does UMC stand for?<SPLIT>[[[[Sentence]]]]: Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",0.9798057675361632,0.9798057675361632,0,0,1,1,Skipped,What does UMC stand for?,"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",0
7,[[[[Question]]]]: What is the [[name]] of the professional [[skateboarder]] that lives in southern California?<SPLIT>[[[[Sentence]]]]: Southern [[California]] is also [[important]] to the [[world]] of yachting.,[[[[Question]]]]: What is the [[sake]] of the professional [[skating]] that lives in southern California?<SPLIT>[[[[Sentence]]]]: Southern [[Ca]] is also [[imperative]] to the [[welt]] of yachting.,0.0009523034095764,0.7129042148590088,1,0,1,114,Successful,What is the sake of the professional skating that lives in southern California?,Southern Ca is also imperative to the welt of yachting.,1
8,[[[[Question]]]]: [[Where]] did Temüjin [[hide]] during his escape from the Tayichi'ud?<SPLIT>[[[[Sentence]]]]: Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,[[[[Question]]]]: [[Anywhere]] did Temüjin [[mendacity]] during his escape from the Tayichi'ud?<SPLIT>[[[[Sentence]]]]: Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,0.0007089376449584,0.8960117101669312,1,0,1,55,Successful,Anywhere did Temüjin mendacity during his escape from the Tayichi'ud?,Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,0
9,"[[[[Question]]]]: What are the most [[active]] parts of ctenophora?<SPLIT>[[[[Sentence]]]]: These branch through the mesoglea to the most [[active]] parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","[[[[Question]]]]: What are the most [[vigorous]] parts of ctenophora?<SPLIT>[[[[Sentence]]]]: These branch through the mesoglea to the most [[positively]] parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0.0020409822463989,0.558971643447876,0,1,0,56,Successful,What are the most vigorous parts of ctenophora?,"These branch through the mesoglea to the most positively parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0
10,"[[[[Question]]]]: Who [[decides]] the [[fate]] of [[protesters]] most of the [[time]]?<SPLIT>[[[[Sentence]]]]: Brownlee [[argues]], ""[[Bringing]] in deterrence at the level of justification detracts from the [[law]]’s [[engagement]] in a moral dialogue with the offender as a rational person [[because]] it [[focuses]] attention on the [[threat]] of [[punishment]] and not the moral reasons to follow this [[law]].""","[[[[Question]]]]: Who [[decision]] the [[predicament]] of [[protesting]] most of the [[stardate]]?<SPLIT>[[[[Sentence]]]]: Brownlee [[alleges]], ""[[Making]] in deterrence at the level of justification detracts from the [[deed]]’s [[commitment]] in a moral dialogue with the offender as a rational person [[than]] it [[attention]] attention on the [[peril]] of [[penalized]] and not the moral reasons to follow this [[ordinances]].""",0.0025829076766967,0.5375707149505615,1,0,1,419,Successful,Who decision the predicament of protesting most of the stardate?,"Brownlee alleges, ""Making in deterrence at the level of justification detracts from the deed’s commitment in a moral dialogue with the offender as a rational person than it attention attention on the peril of penalized and not the moral reasons to follow this ordinances.""",1
11,"[[[[Question]]]]: What act sets forth the [[functions]] of the Scottish Parliament?<SPLIT>[[[[Sentence]]]]: The Scotland [[Act]] 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the [[functions]] and role of the Scottish Parliament and delimits its legislative competence.","[[[[Question]]]]: What act sets forth the [[task]] of the Scottish Parliament?<SPLIT>[[[[Sentence]]]]: The Scotland [[Behaved]] 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the [[peculiarities]] and role of the Scottish Parliament and delimits its legislative competence.",0.0030539631843566,0.6410092115402222,0,1,0,157,Successful,What act sets forth the task of the Scottish Parliament?,"The Scotland Behaved 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the peculiarities and role of the Scottish Parliament and delimits its legislative competence.",0
12,[[[[Question]]]]: What is the [[name]] for a response of the immune system that damages the body's native tissues?<SPLIT>[[[[Sentence]]]]: Hypersensitivity is an immune response that damages the body's own tissues.,[[[[Question]]]]: What is the [[sake]] for a response of the immune system that damages the body's native tissues?<SPLIT>[[[[Sentence]]]]: Hypersensitivity is an immune response that damages the body's own tissues.,0.0031477808952331,0.9610477089881896,0,1,0,35,Successful,What is the sake for a response of the immune system that damages the body's native tissues?,Hypersensitivity is an immune response that damages the body's own tissues.,0
13,[[[[Question]]]]: [[When]] [[did]] the [[Warsaw]] [[Uprising]] begin?<SPLIT>[[[[Sentence]]]]: the Polish government-in-exile in [[London]] gave [[orders]] to the [[underground]] [[Home]] [[Army]] ([[AK]]) to [[try]] to [[seize]] [[control]] of Warsaw from the [[Germans]] before the Red [[Army]] arrived.,[[[[Question]]]]: [[Whereby]] [[get]] the [[Poland]] [[Coup]] begin?<SPLIT>[[[[Sentence]]]]: the Polish government-in-exile in [[Manchester]] gave [[instructions]] to the [[cellar]] [[Lodgings]] [[Troupes]] ([[KENAI]]) to [[tempt]] to [[capturing]] [[controlling]] of Warsaw from the [[Germany]] before the Red [[Navy]] arrived.,0.0007731914520263,0.5167504549026489,1,0,1,430,Successful,Whereby get the Poland Coup begin?,the Polish government-in-exile in Manchester gave instructions to the cellar Lodgings Troupes (KENAI) to tempt to capturing controlling of Warsaw from the Germany before the Red Navy arrived.,1
14,[[[[Question]]]]: The Tower District is centered around which historic theatre?<SPLIT>[[[[Sentence]]]]: The theater was built in 1939 and is at Olive and Wishon [[Avenues]] in the heart of the Tower District.,[[[[Question]]]]: The Tower District is centered around which historic theatre?<SPLIT>[[[[Sentence]]]]: The theater was built in 1939 and is at Olive and Wishon [[Chemin]] in the heart of the Tower District.,0.0181763768196105,0.5338199734687805,1,0,1,66,Successful,The Tower District is centered around which historic theatre?,The theater was built in 1939 and is at Olive and Wishon Chemin in the heart of the Tower District.,1
15,"[[[[Question]]]]: What is the English [[translation]] of [[Het]] Scheur?<SPLIT>[[[[Sentence]]]]: The largest and southern [[main]] branch [[begins]] as Waal and continues as Boven Merwede (""[[Upper]] Merwede""), Beneden Merwede (""Lower Merwede""), Noord [[River]] (""North River""), Nieuwe Maas (""New Meuse""), [[Het]] Scheur (""the Rip"") and Nieuwe Waterweg (""New [[Waterway]]"").","[[[[Question]]]]: What is the English [[rereading]] of [[Beetje]] Scheur?<SPLIT>[[[[Sentence]]]]: The largest and southern [[indispensable]] branch [[commence]] as Waal and continues as Boven Merwede (""[[Best]] Merwede""), Beneden Merwede (""Lower Merwede""), Noord [[Severn]] (""North River""), Nieuwe Maas (""New Meuse""), [[Niet]] Scheur (""the Rip"") and Nieuwe Waterweg (""New [[Revere]]"").",0.0014454722404479,0.5115463733673096,0,1,0,241,Successful,What is the English rereading of Beetje Scheur?,"The largest and southern indispensable branch commence as Waal and continues as Boven Merwede (""Best Merwede""), Beneden Merwede (""Lower Merwede""), Noord Severn (""North River""), Nieuwe Maas (""New Meuse""), Niet Scheur (""the Rip"") and Nieuwe Waterweg (""New Revere"").",0
