,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_question,perturbed_answer,evaluation_output
0,"[[[[Sentence1]]]]: Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.<SPLIT>[[[[Sentence2]]]]: Christopher Reeve had an accident.","[[[[Sentence1]]]]: Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.<SPLIT>[[[[Sentence2]]]]: Christopher Reeve had an accident.",0.587144136428833,0.587144136428833,0,0,1,1,Skipped,"Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.",Christopher Reeve had an accident.,1
1,"[[[[Sentence1]]]]: Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Sentence2]]]]: Bacteria is winning the war against antibiotics.","[[[[Sentence1]]]]: Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Sentence2]]]]: Bacteria is winning the war against antibiotics.",0.5792803764343262,0.5792803764343262,1,1,0,1,Skipped,"Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.",Bacteria is winning the war against antibiotics.,1
2,"[[[[Sentence1]]]]: Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Sentence2]]]]: 15 million tonnes of rubbish are produced daily in Cairo.","[[[[Sentence1]]]]: Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Sentence2]]]]: 15 million tonnes of rubbish are produced daily in Cairo.",0.548064649105072,0.548064649105072,0,0,1,1,Skipped,"Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.",15 million tonnes of rubbish are produced daily in Cairo.,0
3,"[[[[Sentence1]]]]: The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Sentence2]]]]: Pennsylvania has the biggest Amish community in the U.S.","[[[[Sentence1]]]]: The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Sentence2]]]]: Pennsylvania has the biggest Amish community in the U.S.",0.528494119644165,0.528494119644165,0,0,1,1,Skipped,"The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot.",Pennsylvania has the biggest Amish community in the U.S.,0
4,"[[[[Sentence1]]]]: Security forces were on high alert after an election [[campaign]] in which more than 1,000 people, including seven election candidates, have been killed.<SPLIT>[[[[Sentence2]]]]: Security forces were on high alert after a campaign marred by violence.","[[[[Sentence1]]]]: Security forces were on high alert after an election [[countryside]] in which more than 1,000 people, including seven election candidates, have been killed.<SPLIT>[[[[Sentence2]]]]: Security forces were on high alert after a campaign marred by violence.",0.4863908290863037,0.5084952712059021,0,1,0,38,Successful,"Security forces were on high alert after an election countryside in which more than 1,000 people, including seven election candidates, have been killed.",Security forces were on high alert after a campaign marred by violence.,1
5,"[[[[Sentence1]]]]: In [[1979]], the leaders signed the [[Egypt-Israel]] [[peace]] treaty on the White House lawn. Both [[President]] Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Sentence2]]]]: The [[Israel-Egypt]] Peace Agreement was signed in [[1979]].","[[[[Sentence1]]]]: In [[l979]], the leaders signed the [[Egyp-tIsrael]] [[pacification]] treaty on the White House lawn. Both [[Chairmen]] Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Sentence2]]]]: The [[Irsael-Egypt]] Peace Agreement was signed in [[179]].",0.4133686423301697,0.5001411437988281,0,1,0,102,Successful,"In l979, the leaders signed the Egyp-tIsrael pacification treaty on the White House lawn. Both Chairmen Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day.",The Irsael-Egypt Peace Agreement was signed in 179.,0
6,"[[[[Sentence1]]]]: [[singer]] and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin Federline, 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that [[Spears]] appeared on Late Night with David Letterman.<SPLIT>[[[[Sentence2]]]]: [[Spears]] is to divorce from Kevin Federline.","[[[[Sentence1]]]]: [[sіnger]] and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin Federline, 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that [[Speɑrs]] appeared on Late Night with David Letterman.<SPLIT>[[[[Sentence2]]]]: [[Lances]] is to divorce from Kevin Federline.",0.4603533148765564,0.5039655566215515,0,1,0,88,Successful,"sіnger and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin Federline, 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that Speɑrs appeared on Late Night with David Letterman.",Lances is to divorce from Kevin Federline.,1
7,"[[[[Sentence1]]]]: Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales [[Tourist]] Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Sentence2]]]]: Wales to host 2010 Ryder Cup.","[[[[Sentence1]]]]: Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales [[Turist]] Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Sentence2]]]]: Wales to host 2010 Ryder Cup.",0.4832218885421753,0.5215305089950562,0,1,0,43,Successful,"Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales Turist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.",Wales to host 2010 Ryder Cup.,1
8,[[[[Sentence1]]]]: Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Sentence2]]]]: Steve Jobs worked for Apple.,[[[[Sentence1]]]]: Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Sentence2]]]]: Steve Jobs worked for Apple.,0.5210366249084473,0.5210366249084473,1,1,0,1,Skipped,Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later.,Steve Jobs worked for Apple.,1
9,"[[[[Sentence1]]]]: Traditionally, the [[Brahui]] of the [[Raisani]] [[tribe]] are in charge of the [[law]] and order situation through the Pass [[area]]. This tribe is still living in present day Balochistan in [[Pakistan]].<SPLIT>[[[[Sentence2]]]]: [[The]] [[Raisani]] [[tribe]] [[resides]] in [[Pakistan]].","[[[[Sentence1]]]]: Traditionally, the [[Barhui]] of the [[Raisaոi]] [[trbie]] are in charge of the [[ley]] and order situation through the Pass [[aea]]. This tribe is still living in present day Balochistan in [[Peshawar]].<SPLIT>[[[[Sentence2]]]]: [[Du]] [[Riasani]] [[tribе]] [[reside]] in [[Pakistaո]].",0.3932173252105713,0.461443543434143,0,0,0,122,Failed,"Traditionally, the Barhui of the Raisaոi trbie are in charge of the ley and order situation through the Pass aea. This tribe is still living in present day Balochistan in Peshawar.",Du Riasani tribе reside in Pakistaո.,0
