"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Altia]] 's operating [[profit]] [[jumped]] to EUR 47 [[million]] from EUR 6.6 [[million]] .","[[Alti]] 's operating [[Aprofit]] [[jumed]] to EUR 47 [[mililon]] from EUR 6.6 [[mHllion]] .",0.0007036924362182617,0.9756544828414917,2,1,2,32,"Successful"
"The agreement was [[signed]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was [[Xsigned]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",0.0014005303382873535,0.9986240863800049,2,1,2,27,"Successful"
"Kesko pursues a strategy of healthy , focused [[growth]] concentrating on sales and services to consumer-customers .","Kesko pursues a strategy of healthy , focused [[Wrowth]] concentrating on sales and services to consumer-customers .",0.0005785226821899414,0.988373875617981,2,1,2,15,"Successful"
"[[Vaisala]] , headquartered in [[Helsinki]] in [[Finland]] , develops and [[manufactures]] [[electronic]] [[measurement]] systems for meteorology , environmental sciences , [[traffic]] and industry .","[[Vaisaa]] , headquartered in [[Hielsinki]] in [[Finladn]] , develops and [[manufactues]] [[leectronic]] [[measruement]] systems for meteorology , environmental sciences , [[tZaffic]] and industry .",0.0006266236305236816,0.0009130239486694336,1,1,1,71,"Failed"
"[[Also]] , a [[six-year]] [[historic]] [[analysis]] is provided for these markets .","[[AlFo]] , a [[Tsix-year]] [[hisstoric]] [[naalysis]] is provided for these markets .",0.0007799863815307617,0.001667320728302002,1,1,1,31,"Failed"
"[[Elcoteq]] 's stock of orders has [[stabilised]] in the past weeks , Mr Krippl [[said]] .","[[Elcoetq]] 's stock of orders has [[stAabilised]] in the past weeks , Mr Krippl [[aid]] .",0.0006445050239562988,0.9888483881950378,2,1,2,22,"Successful"
"Also , a six-year historic [[analysis]] is [[provided]] for this [[market]] .","Also , a six-year historic [[anaylsis]] is [[provied]] for this [[maret]] .",0.0007697343826293945,0.06284630298614502,1,1,1,31,"Failed"
"[[In]] [[addition]] , nine [[fixed-term]] employment contracts will not be extended and two people will leave the company under [[pension]] [[arrangements]] .","[[wIn]] [[addinion]] , nine [[fxied-term]] employment contracts will not be extended and two people will leave the company under [[pensioGn]] [[arranghments]] .",0.0016512870788574219,0.5465161204338074,1,2,1,53,"Successful"
"[[Operating]] loss [[totalled]] EUR 0.9 [[mn]] , down from a [[profit]] of EUR 2.7 mn .","[[Owerating]] loss [[toOalled]] EUR 0.9 [[mQ]] , down from a [[proyfit]] of EUR 2.7 mn .",0.0013597607612609863,0.001827239990234375,0,0,0,44,"Failed"
"The [[Insolvency]] Act [[regulates]] the amount of debt that borrowers are [[permitted]] to write off .","The [[Insolency]] Act [[reguslates]] the amount of debt that borrowers are [[pBrmitted]] to write off .",0.0009548068046569824,0.0015254616737365723,1,1,1,46,"Failed"
